Estimate_original,Std. Error_original,t value_original,Pr(>|t|)_original,Estimate_lax_outlier_out,Std. Error_lax_outlier_out,t value_lax_outlier_out,Pr(>|t|)_lax_outlier_edu,Estimate_strict_outlier_out,Std. Error_strict_outlier_out,t value_strict_outlier_out,Pr(>|t|)_strict_outlier_edu
0.427115637969507,0.0925552995348791,4.61470753285769,6.52849865252907e-06,0.258108362954906,0.0721532294882253,3.57722536864448,0.00042587263557054,0.384177749294084,0.0662997315311868,5.79455965237762,2.67993245340816e-08
-0.259448657323371,0.0926082713770901,-2.80157110661235,0.00551669162590129,-0.332242490438218,0.0696492237902587,-4.77022531419347,3.32483312168401e-06,-0.267497138623971,0.0595098516515896,-4.49500597296189,1.18556659502354e-05
0.427115637969507,0.0925552995348791,4.61470753285769,6.52849865252907e-06,0.258108362954906,0.0721532294882253,3.57722536864448,0.00042587263557054,0.384177749294084,0.0662997315311868,5.79455965237762,2.67993245340816e-08
-0.259448657323371,0.0926082713770901,-2.80157110661235,0.00551669162590129,-0.332242490438218,0.0696492237902587,-4.77022531419347,3.32483312168401e-06,-0.267497138623971,0.0595098516515896,-4.49500597296189,1.18556659502354e-05
0.427115637969507,0.0925552995348791,4.61470753285769,6.52849865252907e-06,0.258108362954906,0.0721532294882253,3.57722536864448,0.00042587263557054,0.384177749294084,0.0662997315311868,5.79455965237762,2.67993245340816e-08
-0.259448657323371,0.0926082713770901,-2.80157110661235,0.00551669162590129,-0.332242490438218,0.0696492237902587,-4.77022531419347,3.32483312168401e-06,-0.267497138623971,0.0595098516515896,-4.49500597296189,1.18556659502354e-05
0.427115637969507,0.0925552995348791,4.61470753285769,6.52849865252907e-06,0.258108362954906,0.0721532294882253,3.57722536864448,0.00042587263557054,0.384177749294084,0.0662997315311868,5.79455965237762,2.67993245340816e-08
-0.259448657323371,0.0926082713770901,-2.80157110661235,0.00551669162590129,-0.332242490438218,0.0696492237902587,-4.77022531419347,3.32483312168401e-06,-0.267497138623971,0.0595098516515896,-4.49500597296189,1.18556659502354e-05
0.427115637969507,0.0925552995348791,4.61470753285769,6.52849865252907e-06,0.258108362954906,0.0721532294882253,3.57722536864448,0.00042587263557054,0.384177749294084,0.0662997315311868,5.79455965237762,2.67993245340816e-08
-0.259448657323371,0.0926082713770901,-2.80157110661235,0.00551669162590129,-0.332242490438218,0.0696492237902587,-4.77022531419347,3.32483312168401e-06,-0.267497138623971,0.0595098516515896,-4.49500597296189,1.18556659502354e-05
0.427115637969507,0.0925552995348791,4.61470753285769,6.52849865252907e-06,0.258108362954906,0.0721532294882253,3.57722536864448,0.00042587263557054,0.384177749294084,0.0662997315311868,5.79455965237762,2.67993245340816e-08
-0.259448657323371,0.0926082713770901,-2.80157110661235,0.00551669162590129,-0.332242490438218,0.0696492237902587,-4.77022531419347,3.32483312168401e-06,-0.267497138623971,0.0595098516515896,-4.49500597296189,1.18556659502354e-05
