beta,se,lower_ci,upper_ci,pval,trait,type,nsnps
0.429402972363233,0.0823463234585947,0.268007144125102,0.590798800601364,1.84216308434953e-07,VAT,VAT,83
0.104520647162907,0.0829799673863791,-0.0581171003527042,0.267158394678518,0.207817696080081,VATadjBMI,VATadjBMI,83
0.393005198754655,0.0822954166380607,0.231709146051338,0.554301251457972,1.79224093154139e-06,GSAT,GSAT,83
-0.00262268756663884,0.0823115686544982,-0.163950397640451,0.158705022507174,0.9745813629724,GSATadjBMI,GSATadjBMI,83
0.337656317361505,0.0826730529596854,0.175620111068549,0.499692523654461,4.42219358809542e-05,ASAT,ASAT,83
-0.131969475273776,0.0836180510562207,-0.2958578438014,0.0319188932538475,0.114510148006676,ASATadjBMI,ASATadjBMI,83
0.308586205718526,0.0812739051724435,0.149292278697613,0.467880132739439,0.000146536377417709,VAT/GSAT,VAT/GSAT,83
0.313500057011919,0.0802141348878844,0.156283241580627,0.47071687244321,9.29519044628362e-05,VAT/ASAT,VAT/ASAT,83
0.129758057252793,0.0817369600055023,-0.0304434405637823,0.289959555069368,0.11239769371171,ASAT/GSAT,ASAT/GSAT,83
