Estimate_original,Std. Error_original,t value_original,Pr(>|t|)_original,Estimate_lax_outlier_out,Std. Error_lax_outlier_out,t value_lax_outlier_out,Pr(>|t|)_lax_outlier_edu,Estimate_strict_outlier_out,Std. Error_strict_outlier_out,t value_strict_outlier_out,Pr(>|t|)_strict_outlier_edu
0.184779673263528,0.0729494719619366,2.5329816418677,0.0119730296743855,0.175729485002683,0.0629532460479767,2.79142849709067,0.00570270660486041,0.222029985102818,0.0541098236739768,4.10332117215158,5.90610199000694e-05
0.0208056887139886,0.0729124227760244,0.285351767529388,0.77563034525934,0.00566241113529812,0.0624147363597069,0.0907223432406197,0.92779465239229,0.0866288393360215,0.0538964644905347,1.60731951817053,0.109546234915476
0.184779673263528,0.0729494719619366,2.5329816418677,0.0119730296743855,0.175729485002683,0.0629532460479767,2.79142849709067,0.00570270660486041,0.222029985102818,0.0541098236739768,4.10332117215158,5.90610199000694e-05
0.0208056887139886,0.0729124227760244,0.285351767529388,0.77563034525934,0.00566241113529812,0.0624147363597069,0.0907223432406197,0.92779465239229,0.0866288393360215,0.0538964644905347,1.60731951817053,0.109546234915476
0.184779673263528,0.0729494719619366,2.5329816418677,0.0119730296743855,0.175729485002683,0.0629532460479767,2.79142849709067,0.00570270660486041,0.222029985102818,0.0541098236739768,4.10332117215158,5.90610199000694e-05
0.0208056887139886,0.0729124227760244,0.285351767529388,0.77563034525934,0.00566241113529812,0.0624147363597069,0.0907223432406197,0.92779465239229,0.0866288393360215,0.0538964644905347,1.60731951817053,0.109546234915476
0.184779673263528,0.0729494719619366,2.5329816418677,0.0119730296743855,0.175729485002683,0.0629532460479767,2.79142849709067,0.00570270660486041,0.222029985102818,0.0541098236739768,4.10332117215158,5.90610199000694e-05
0.0208056887139886,0.0729124227760244,0.285351767529388,0.77563034525934,0.00566241113529812,0.0624147363597069,0.0907223432406197,0.92779465239229,0.0866288393360215,0.0538964644905347,1.60731951817053,0.109546234915476
0.184779673263528,0.0729494719619366,2.5329816418677,0.0119730296743855,0.175729485002683,0.0629532460479767,2.79142849709067,0.00570270660486041,0.222029985102818,0.0541098236739768,4.10332117215158,5.90610199000694e-05
0.0208056887139886,0.0729124227760244,0.285351767529388,0.77563034525934,0.00566241113529812,0.0624147363597069,0.0907223432406197,0.92779465239229,0.0866288393360215,0.0538964644905347,1.60731951817053,0.109546234915476
0.184779673263528,0.0729494719619366,2.5329816418677,0.0119730296743855,0.175729485002683,0.0629532460479767,2.79142849709067,0.00570270660486041,0.222029985102818,0.0541098236739768,4.10332117215158,5.90610199000694e-05
0.0208056887139886,0.0729124227760244,0.285351767529388,0.77563034525934,0.00566241113529812,0.0624147363597069,0.0907223432406197,0.92779465239229,0.0866288393360215,0.0538964644905347,1.60731951817053,0.109546234915476
